total_games_played,cumulative_points
834,7477.138781228174
835,7486.2570891793475
836,7495.375397130521
837,7504.493705081695
838,7513.612013032868
839,7522.730320984042
840,7531.848628935216
841,7540.96693688639
842,7550.085244837564
843,7559.203552788737
844,7568.321860739911
845,7577.440168691084
846,7586.558476642258
847,7595.676784593432
848,7604.795092544606
849,7613.91340049578
850,7623.031708446953
851,7632.150016398127
852,7641.268324349301
853,7650.386632300474
854,7659.504940251648
855,7668.623248202822
856,7677.741556153996
857,7686.859864105169
858,7695.978172056343
859,7705.096480007517
860,7714.21478795869
861,7723.333095909864
862,7732.451403861038
863,7741.569711812212
864,7750.6880197633855
865,7759.806327714559
866,7768.924635665733
867,7778.042943616906
868,7787.16125156808
869,7796.279559519254
870,7805.397867470428
871,7814.5161754216015
872,7823.634483372775
873,7832.752791323949
874,7841.871099275123
875,7850.989407226296
876,7860.10771517747
877,7869.226023128644
878,7878.3443310798175
879,7887.462639030991
880,7896.580946982165
881,7905.699254933339
882,7914.817562884512
883,7923.935870835686
884,7933.05417878686
885,7942.1724867380335
886,7951.290794689207
887,7960.409102640381
888,7969.527410591555
889,7978.645718542728
890,7987.764026493902
891,7996.882334445076
892,8006.0006423962495
893,8015.118950347423
894,8024.237258298597
895,8033.355566249771
896,8042.473874200945
897,8051.592182152118
898,8060.710490103292
899,8069.8287980544665
900,8078.9471060056385
901,8088.065413956812
902,8097.183721907986
903,8106.30202985916
904,8115.420337810334
905,8124.538645761508
906,8133.656953712682
907,8142.775261663855
908,8151.893569615029
909,8161.011877566203
910,8170.130185517377
911,8179.248493468551
912,8188.366801419725
913,8197.485109370898
914,8206.603417322072
915,8215.721725273244
916,8224.840033224418
917,8233.958341175592
918,8243.076649126766
919,8252.19495707794
920,8261.313265029114
921,8270.431572980287
922,8279.549880931461
923,8288.668188882635
924,8297.786496833809
925,8306.904804784983
926,8316.023112736157
927,8325.14142068733
928,8334.259728638504
929,8343.378036589676
930,8352.49634454085
931,8361.614652492024
932,8370.732960443198
933,8379.851268394372
934,8388.969576345546
935,8398.08788429672
936,8407.206192247893
937,8416.324500199067
938,8425.442808150241
939,8434.561116101415
940,8443.679424052589
941,8452.797732003763
942,8461.916039954936
943,8471.03434790611
944,8480.152655857282
945,8489.270963808456
946,8498.38927175963
947,8507.507579710804
948,8516.625887661978
949,8525.744195613152
950,8534.862503564325
951,8543.9808115155
952,8553.099119466673
953,8562.217427417847
954,8571.33573536902
955,8580.454043320195
956,8589.572351271368
957,8598.690659222542
958,8607.808967173716
959,8616.927275124888
960,8626.045583076062
961,8635.163891027236
962,8644.28219897841
963,8653.400506929584
964,8662.518814880757
965,8671.637122831931
966,8680.755430783105
967,8689.873738734279
968,8698.992046685453
969,8708.110354636627
970,8717.2286625878
971,8726.346970538974
972,8735.465278490148
973,8744.58358644132
974,8753.701894392494
975,8762.820202343668
976,8771.938510294842
977,8781.056818246016
978,8790.17512619719
979,8799.293434148363
980,8808.411742099537
981,8817.530050050711
982,8826.648358001885
983,8835.766665953059
984,8844.884973904233
985,8854.003281855406
986,8863.12158980658
987,8872.239897757754
988,8881.358205708926
989,8890.4765136601
990,8899.594821611274
991,8908.713129562448
992,8917.831437513621
993,8926.949745464795
994,8936.06805341597
995,8945.186361367143
996,8954.304669318317
997,8963.42297726949
998,8972.541285220665
999,8981.659593171838
1000,8990.777901123012
1001,8999.896209074186
1002,9009.01451702536
1003,9018.132824976532
1004,9027.251132927706
1005,9036.36944087888
1006,9045.487748830054
1007,9054.606056781227
1008,9063.724364732401
1009,9072.842672683575
1010,9081.960980634749
1011,9091.079288585923
1012,9100.197596537097
1013,9109.31590448827
1014,9118.434212439444
1015,9127.552520390618
1016,9136.670828341792
1017,9145.789136292964
1018,9154.907444244138
1019,9164.025752195312
1020,9173.144060146486
1021,9182.26236809766
1022,9191.380676048833
1023,9200.498984000007
1024,9209.617291951181
1025,9218.735599902355
1026,9227.853907853529
1027,9236.972215804703
1028,9246.090523755876
1029,9255.20883170705
1030,9264.327139658224
1031,9273.445447609398
1032,9282.56375556057
1033,9291.682063511744
1034,9300.800371462918
1035,9309.918679414091
1036,9319.036987365265
1037,9328.15529531644
1038,9337.273603267613
1039,9346.391911218787
1040,9355.51021916996
1041,9364.628527121135
1042,9373.746835072308
1043,9382.865143023482
1044,9391.983450974656
1045,9401.10175892583
1046,9410.220066877002
1047,9419.338374828176
1048,9428.45668277935
1049,9437.574990730523
1050,9446.693298681697
1051,9455.811606632871
1052,9464.929914584045
1053,9474.048222535219
1054,9483.166530486393
1055,9492.284838437567
1056,9501.40314638874
1057,9510.521454339914
1058,9519.639762291088
1059,9528.758070242262
1060,9537.876378193436
1061,9546.994686144608
1062,9556.112994095782
1063,9565.231302046956
1064,9574.34960999813
