year,game_number,date,points
2016,47,2016-02-25,14
2016,48,2016-02-27,8
2016,49,2016-02-29,13
2016,50,2016-03-02,15
2016,51,2016-03-05,10
2016,52,2016-03-06,7
2016,53,2016-03-09,16
2016,54,2016-03-11,8
2016,55,2016-03-12,0
2016,56,2016-03-14,10
2016,57,2016-03-16,7
2016,58,2016-03-18,18
2016,59,2016-03-19,4
2016,60,2016-03-22,16
2016,61,2016-03-23,5
2016,62,2016-03-25,17
2016,63,2016-03-27,6
2016,64,2016-03-29,10
2016,65,2016-03-31,22
2016,66,2016-04-03,12
2016,67,2016-04-06,9
2016,68,2016-04-07,9
2016,69,2016-04-10,19
2016,70,2016-04-11,11
2016,71,2016-04-13,9
2017,1,2016-11-17,11
2017,2,2016-11-19,5
2017,3,2016-11-21,9
2017,4,2016-11-23,10
2017,5,2016-11-25,7
2017,6,2016-11-27,1
2017,7,2016-11-29,6
2017,8,2016-12-01,3
2017,9,2016-12-02,11
2017,10,2016-12-05,9
2017,11,2016-12-07,10
2017,12,2016-12-09,3
2017,13,2016-12-10,15
2017,14,2016-12-12,11
2017,15,2016-12-14,10
2017,16,2016-12-16,13
2017,17,2016-12-17,6
2017,18,2016-12-20,4
2017,19,2016-12-21,18
2017,20,2016-12-23,13
2017,21,2016-12-26,11
2017,22,2016-12-30,15
2017,23,2017-01-05,11
2017,24,2017-01-06,17
2017,25,2017-01-08,6
2017,26,2017-01-10,8
2017,27,2017-01-11,0
2017,28,2017-01-13,6
2017,29,2017-01-15,16
2017,30,2017-01-17,12
2017,31,2017-01-18,12
2017,32,2017-01-20,13
2017,33,2017-01-21,7
2017,34,2017-01-23,18
2017,35,2017-01-25,3
2017,36,2017-01-27,7
2017,37,2017-01-29,7
2017,38,2017-01-31,5
2017,39,2017-02-02,9
2017,40,2017-02-03,9
2017,41,2017-02-07,14
2017,42,2017-02-09,17
2017,43,2017-02-11,19
2017,44,2017-02-15,7
2017,45,2017-02-23,2
2017,46,2017-02-25,15
2017,47,2017-02-27,2
2017,48,2017-03-01,14
2017,49,2017-03-04,12
2017,50,2017-03-06,11
2017,51,2017-03-08,3
2017,52,2017-03-10,3
2017,53,2017-03-12,13
2017,54,2017-03-15,9
2017,55,2017-03-17,7
2017,56,2017-03-18,3
2017,57,2017-03-20,14
2017,58,2017-03-24,17
2017,59,2017-03-26,0
2017,60,2017-03-28,10
2017,61,2017-03-30,9
2017,62,2017-03-31,11
2017,63,2017-04-02,26
2017,64,2017-04-05,9
2017,65,2017-04-07,6
2017,66,2017-04-09,9
2017,67,2017-04-12,10
