year,game_number,date,points
2010,46,2010-01-29,30
2010,47,2010-01-31,45
2010,48,2010-02-02,33
2010,49,2010-02-03,30
2010,50,2010-02-06,29
2010,51,2010-02-09,33
2010,52,2010-02-16,25
2010,53,2010-02-20,36
2010,54,2010-02-21,32
2010,55,2010-02-23,36
2010,56,2010-02-24,21
2010,57,2010-02-26,25
2010,58,2010-02-28,29
2010,59,2010-03-02,39
2010,60,2010-03-03,19
2010,61,2010-03-05,32
2010,62,2010-03-07,27
2010,63,2010-03-10,29
2010,64,2010-03-12,32
2010,65,2010-03-14,35
2010,66,2010-03-17,26
2010,67,2010-03-19,31
2010,68,2010-03-21,16
2010,69,2010-03-22,45
2010,70,2010-03-24,25
2010,71,2010-03-26,26
2010,72,2010-03-28,29
2010,73,2010-03-30,26
2010,74,2010-03-31,37
2010,75,2010-04-03,23
2010,76,2010-04-04,40
2010,77,2010-04-06,45
2010,78,2010-04-07,33
2010,79,2010-04-09,35
2010,80,2010-04-11,40
2010,81,2010-04-12,30
2010,82,2010-04-14,31
2011,1,2010-10-27,30
2011,2,2010-10-29,30
2011,3,2010-10-31,28
2011,4,2010-11-03,16
2011,5,2010-11-04,28
2011,6,2010-11-07,34
2011,7,2010-11-10,31
2011,8,2010-11-12,34
2011,9,2010-11-14,23
2011,10,2010-11-15,30
2011,11,2010-11-17,24
2011,12,2010-11-22,28
2011,13,2010-11-24,32
2011,14,2010-11-26,25
2011,15,2010-11-28,18
2011,16,2010-11-29,26
2011,17,2010-12-05,28
2011,18,2010-12-06,29
2011,19,2010-12-08,30
2011,20,2010-12-10,25
2011,21,2010-12-12,25
2011,22,2010-12-15,32
2011,23,2010-12-17,24
2011,24,2010-12-19,28
2011,25,2010-12-21,32
2011,26,2010-12-22,26
2011,27,2010-12-25,44
2011,28,2010-12-27,28
2011,29,2010-12-29,27
2011,30,2010-12-31,33
2011,31,2011-01-01,16
2011,32,2011-01-04,28
2011,33,2011-01-06,28
2011,34,2011-01-08,40
2011,35,2011-01-12,30
2011,36,2011-01-13,36
2011,37,2011-01-17,24
2011,38,2011-01-19,22
2011,39,2011-01-22,30
2011,40,2011-01-24,22
2011,41,2011-01-26,47
2011,42,2011-01-28,40
2011,43,2011-01-30,33
2011,44,2011-02-02,43
2011,45,2011-02-04,24
2011,46,2011-02-05,21
2011,47,2011-02-08,31
2011,48,2011-02-12,35
2011,49,2011-02-13,29
2011,50,2011-02-15,17
2011,51,2011-02-22,21
2011,52,2011-02-23,30
2011,53,2011-02-25,23
2011,54,2011-02-27,21
2011,55,2011-03-02,21
2011,56,2011-03-04,29
2011,57,2011-03-06,18
2011,58,2011-03-07,23
2011,59,2011-03-09,34
2011,60,2011-03-11,24
2011,61,2011-03-13,19
2011,62,2011-03-14,32
2011,63,2011-03-16,29
2011,64,2011-03-18,25
2011,65,2011-03-20,20
2011,66,2011-03-23,29
2011,67,2011-03-25,23
2011,68,2011-03-27,21
2011,69,2011-03-29,39
2011,70,2011-03-30,22
2011,71,2011-04-01,25
2011,72,2011-04-02,23
2011,73,2011-04-05,32
2011,74,2011-04-06,29
2011,75,2011-04-08,28
2011,76,2011-04-10,31
2011,77,2011-04-11,32
2011,78,2011-04-13,14
2012,1,2011-12-25,30
2012,2,2011-12-26,33
2012,3,2011-12-28,32
2012,4,2011-12-29,30
2012,5,2011-12-31,12
2012,6,2012-01-02,27
2012,7,2012-01-03,19
2012,8,2012-01-06,26
2012,9,2012-01-07,27
2012,10,2012-01-08,21
2012,11,2012-01-10,22
2012,12,2012-01-11,29
2012,13,2012-01-14,28
2012,14,2012-01-16,28
2012,15,2012-01-18,33
2012,16,2012-01-21,20
2012,17,2012-01-23,20
2012,18,2012-01-25,25
2012,19,2012-01-27,37
2012,20,2012-01-30,36
2012,21,2012-02-01,23
2012,22,2012-02-03,36
2012,23,2012-02-04,22
2012,24,2012-02-06,33
2012,25,2012-02-07,33
2012,26,2012-02-09,27
2012,27,2012-02-10,19
2012,28,2012-02-14,21
2012,29,2012-02-15,33
2012,30,2012-02-17,23
2012,31,2012-02-19,51
2012,32,2012-02-20,31
2012,33,2012-02-22,28
2012,34,2012-02-23,33
2012,35,2012-02-29,23
2012,36,2012-03-01,38
2012,37,2012-03-03,35
2012,38,2012-03-05,22
2012,39,2012-03-07,30
2012,40,2012-03-09,23
2012,41,2012-03-10,26
2012,42,2012-03-13,28
2012,43,2012-03-15,24
2012,44,2012-03-16,25
2012,45,2012-03-18,26
2012,46,2012-03-20,18
2012,47,2012-03-21,32
2012,48,2012-03-23,40
2012,49,2012-03-25,28
2012,50,2012-03-27,25
2012,51,2012-03-29,21
2012,52,2012-04-01,26
2012,53,2012-04-02,21
2012,54,2012-04-04,30
2012,55,2012-04-06,44
2012,56,2012-04-08,23
2012,57,2012-04-09,19
2012,58,2012-04-11,22
2012,59,2012-04-13,29
2012,60,2012-04-14,43
2012,61,2012-04-16,24
2012,62,2012-04-18,29
2012,63,2012-04-20,29
2012,64,2012-04-22,35
2012,65,2012-04-24,32
2012,66,2012-04-25,32
2013,1,2012-11-01,23
2013,2,2012-11-02,23
2013,3,2012-11-04,22
2013,4,2012-11-06,15
2013,5,2012-11-08,24
2013,6,2012-11-09,25
2013,7,2012-11-11,26
2013,8,2012-11-12,26
2013,9,2012-11-14,34
2013,10,2012-11-16,27
2013,11,2012-11-18,25
2013,12,2012-11-21,35
2013,13,2012-11-23,29
2013,14,2012-11-24,37
2013,15,2012-11-26,18
2013,16,2012-11-28,37
2013,17,2012-11-30,25
2013,18,2012-12-01,20
2013,19,2012-12-04,32
2013,20,2012-12-07,36
2013,21,2012-12-09,27
2013,22,2012-12-12,35
2013,23,2012-12-14,31
2013,24,2012-12-17,19
2013,25,2012-12-19,41
2013,26,2012-12-20,33
2013,27,2012-12-25,33
2013,28,2012-12-27,40
2013,29,2012-12-29,26
2013,30,2012-12-31,30
2013,31,2013-01-02,27
2013,32,2013-01-04,26
2013,33,2013-01-06,22
2013,34,2013-01-07,29
2013,35,2013-01-09,26
2013,36,2013-01-11,42
2013,37,2013-01-13,33
2013,38,2013-01-14,41
2013,39,2013-01-16,20
