total_games_played,cumulative_points
1365,36805.942380060034
1366,36832.63951029461
1367,36859.33664052919
1368,36886.03377076377
1369,36912.730900998344
1370,36939.42803123292
1371,36966.1251614675
1372,36992.822291702076
1373,37019.51942193665
1374,37046.21655217123
1375,37072.91368240581
1376,37099.610812640385
1377,37126.30794287495
1378,37153.005073109525
1379,37179.7022033441
1380,37206.39933357868
1381,37233.09646381326
1382,37259.793594047835
1383,37286.49072428241
1384,37313.18785451699
1385,37339.88498475157
1386,37366.582114986144
1387,37393.27924522072
1388,37419.9763754553
1389,37446.673505689876
1390,37473.37063592445
1391,37500.06776615903
1392,37526.76489639361
1393,37553.462026628185
1394,37580.15915686276
1395,37606.85628709734
1396,37633.55341733192
1397,37660.250547566495
1398,37686.94767780107
1399,37713.64480803565
1400,37740.34193827023
1401,37767.039068504804
1402,37793.73619873938
1403,37820.43332897396
1404,37847.130459208536
1405,37873.82758944311
1406,37900.52471967769
1407,37927.22184991227
1408,37953.918980146846
1409,37980.61611038142
1410,38007.313240616
1411,38034.01037085058
1412,38060.707501085155
1413,38087.40463131973
1414,38114.10176155431
1415,38140.79889178889
1416,38167.496022023464
1417,38194.19315225804
1418,38220.89028249262
1419,38247.587412727196
1420,38274.284542961774
1421,38300.98167319635
1422,38327.67880343093
1423,38354.37593366549
1424,38381.07306390007
1425,38407.770194134646
